Source,Target,Weight
#Flashbots,#Ethereum,38
#Flashbots,running,8
#Flashbots,ETH,35
#Flashbots,#MEV,84
#MEV,ETH,18
#Flashbots,#ETH,12
#MEV,#ETH,8
ETH,#ETH,5
#Flashbots,Flashbots,43
ETH,Flashbots,6
ETH,running,5
Flashbots,running,2
#Flashbots,MEV,79
#Flashbots,Ethereum,13
MEV,#Ethereum,15
MEV,Ethereum,11
#Ethereum,Ethereum,8
Ethereum,#FlashBots,1
MEV,#FlashBots,7
MEV,running,6
#FlashBots,running,2
#Flashbots,transactions,25
Flashbots,#Ethereum,8
Flashbots,transactions,3
Flashbots,#ETH,5
#Ethereum,transactions,3
#Ethereum,#ETH,5
transactions,#ETH,2
MEV,Flashbots,24
MEV,#ETH,4
#flashbots,MEV,85
#flashbots,Flashbots,23
#flashbots,#Ethereum,25
#Flashbots,#ethereum,4
MEV,#ethereum,6
#flashbots,Ethereum,24
#flashbots,#ethereum,19
Ethereum,#ethereum,4
#Flashbots,#DeFi,27
MEV,#DeFi,9
#Ethereum,#DeFi,13
#DeFi,Ethereum,5
#Flashbots,#mev,3
#flashbots,#mev,46
MEV,#MEV,41
#flashbots,front,14
#flashbots,running,12
front,running,15
#Flashbots,bloXrouteLabs,18
MEV,bloXrouteLabs,3
Flashbots,Ethereum,3
#flashbots,ETH,38
ETH,#Ethereum,12
Ethereum,#ETH,2
ETH,#FlashBots,2
#Ethereum,#FlashBots,3
#flashbots,transactions,15
MEV,transactions,8
#MEV,Flashbots,14
MEV,#mev,6
Flashbots,#mev,1
#Flashbots,gas,14
MEV,gas,6
#flashbots,thegostep,26
#flashbots,team,19
#flashbots,bertcmiller,21
thegostep,Ethereum,5
thegostep,team,3
thegostep,bertcmiller,8
Ethereum,team,2
Ethereum,bertcmiller,1
team,bertcmiller,4
MEV,ETH,19
#MEV,#Ethereum,20
#flashbots,EST,7
thegostep,EST,1
Ethereum,EST,1
#flashbots,bloXrouteLabs,2
#MEV,transactions,4
#MEV,#FlashBots,5
Flashbots,#FlashBots,2
transactions,#FlashBots,3
MEV,thegostep,12
MEV,bertcmiller,9
#MEV,thegostep,10
#MEV,bertcmiller,4
thegostep,#FlashBots,5
bertcmiller,#FlashBots,1
#flashbots,NFT,7
#Ethereum,#mev,4
#Flashbots,team,15
#flashbots,#MEV,57
#Flashbots,thegostep,15
#Flashbots,bertcmiller,9
#MEV,#DeFi,20
MEV,team,12
thegostep,#ETH,2
team,#ETH,1
#mev,#ethereum,3
#MEV,Ethereum,7
#Ethereum,thegostep,1
thegostep,#DeFi,2
#Flashbots,mint,18
team,mint,1
MEV,front,5
#Flashbots,transaction,12
#MEV,transaction,9
