Source,Target,Weight
#MEV,ROI,2890
#MEV,profit,1250
#MEV,days,1163
#MEV,contract,1071
#MEV,eye,1016
#MEV,#SandwichAttacker,1009
ROI,profit,1115
ROI,days,1108
ROI,contract,1026
ROI,eye,1009
ROI,#SandwichAttacker,1009
profit,days,1093
profit,contract,1023
profit,eye,1006
profit,#SandwichAttacker,1009
days,contract,1020
days,eye,1006
days,#SandwichAttacker,1009
contract,eye,1006
contract,#SandwichAttacker,1009
eye,#SandwichAttacker,1006
#MEV,sandwich,2068
ROI,sandwich,691
sandwich,profit,84
sandwich,days,74
#MEV,#arbitrage,7477
#MEV,WETH,5205
#MEV,USDT,3273
#MEV,USDC,3222
#MEV,DAI,1180
#MEV,EigenPhi,814
#arbitrage,WETH,4712
#arbitrage,USDT,2972
#arbitrage,USDC,2838
#arbitrage,DAI,986
#arbitrage,EigenPhi,130
WETH,USDT,2027
WETH,USDC,2965
WETH,DAI,1131
WETH,EigenPhi,442
USDT,USDC,1700
USDT,DAI,795
USDT,EigenPhi,270
USDC,DAI,1005
USDC,EigenPhi,325
DAI,EigenPhi,174
#MEV,info,3927
#MEV,MEV,5720
MEV,USDC,10
#arbitrage,ROI,1735
WETH,ROI,1433
USDT,ROI,799
USDC,ROI,977
WETH,sandwich,1916
WETH,profit,32
USDT,sandwich,996
USDT,profit,19
USDC,sandwich,1407
USDC,profit,25
sandwich,DAI,632
profit,DAI,13
MEV,#mev,87
ROI,DAI,390
#MEV,video,4385
#MEV,WBTC,764
WETH,WBTC,730
USDT,WBTC,366
USDC,WBTC,527
DAI,WBTC,205
EigenPhi,WBTC,61
#MEV,simply,4355
MEV,profit,18
#arbitrage,WBTC,692
#arbitrage,#mev,8
ROI,WBTC,211
ROI,EigenPhi,90
#MEV,BUSD,751
#arbitrage,BUSD,742
WETH,BUSD,13
USDT,BUSD,226
USDC,BUSD,48
DAI,BUSD,10
EigenPhi,BUSD,6
sandwich,WBTC,375
profit,WBTC,5
#arbitrage,sandwich,1946
#arbitrage,profit,31
#arbitrage,days,25
MEV,WETH,7
MEV,USDT,18
MEV,DAI,3
#MEV,WBNB,1894
#arbitrage,WBNB,1883
ROI,WBNB,192
ROI,BUSD,128
WBNB,BUSD,617
sandwich,EigenPhi,3
USDT,days,6
WETH,days,16
USDC,days,16
USDT,WBNB,1012
profit,EigenPhi,39
#MEV,view,2577
#arbitrage,view,2
ROI,view,2
view,WBNB,2
view,BUSD,2
#MEV,pass,808
WBNB,EigenPhi,4
#arbitrage,MEV,14
MEV,ROI,6
#MEV,solid,708
MEV,solid,706
MEV,sandwich,6
sandwich,#mev,9
#arbitrage,contract,15
#arbitrage,eye,2
WBNB,eye,2
WETH,contract,7
USDC,contract,7
DAI,contract,4
