,Date,Tweets
0,2022-09-30 20:48:24+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $10,630 with an ROI of 731.5% in 7 days, via 2722 🥪$.
https://t.co/Jz3qaq7pTC"
1,2022-09-30 20:47:32+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $84,382 with an ROI of 4,884.1% in 7 days, via 1486 🥪$.
https://t.co/BSBU9yReTZ"
2,2022-09-30 20:46:41+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $17,843 with an ROI of 8,540.7% in 7 days, via 610 🥪$.
https://t.co/zYC9us8jDW"
3,2022-09-30 18:02:14+00:00,"🔴 Visita el #MEV aquest cap de setmana i aprofita la visita 'Recorregut medieval' 
📌 Dissabte 1 i diumenge 2 d'octubre
🕥 A les 12 h
ℹ És gratuïta. Està inclosa amb el preu de l'entrada
🧵 (1/2) https://t.co/000kxO98KY"
4,2022-09-30 17:20:42+00:00,"#MEV 🤖 Our user made a profit of $79,441 with an ROI of 4,483.8% in 7 days, via 1484 sandwich trades.
#ethereum #flashloan #crypto #lunc #rehamuhtar #fifa2023
https://t.co/RunJvWVRek"
5,2022-09-30 17:18:36+00:00,"I started using @MEVBot01 
 a month ago with $50k and no big expectations.. Now I’m making $70k per week 🤯 Gotta love #MEV 💙 https://t.co/nxhgPwRP39"
6,2022-09-30 17:04:44+00:00,"#MEV used $3,976,729 ( $USDT )  #flashloan ⚡️ from Balancer #Balancer, then to make $21 from #arbitrage , using 7 tokens ( $USDC , $variableDebtDAI , $aDAI , $WETH , $DAI , $USDT , $aWETH ) @EigenPhi
https://t.co/VnROybG782"
7,2022-09-30 17:03:45+00:00,"#MEV used $3,987,090 ( $DAI )  #flashloan ⚡️ from Balancer #Balancer, then to make $21 from #arbitrage , using 7 tokens ( $USDC , $variableDebtDAI , $aDAI , $WETH , $DAI , $USDT , $aWETH ) @EigenPhi
https://t.co/dU7zQSGuQ6"
8,2022-09-30 17:02:29+00:00,"🗨 'Mira, toca, olora i escolta l'art en família'
🗨 Els diumenges del mes d'octubre t'oferim una activitat familiar per descobrir que les obres d'art del #MEV es poden gaudir no només amb la vista, sinó amb tots els sentits!
🗓 2 d'octubre
🕙 A les 10.30 h
🪡 (1/2) https://t.co/shU87nvVQN"
9,2022-09-30 16:35:13+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $528 , using  ( $WETH , $UNI-V2 , $Vulture ). Source: @EigenPhi
https://t.co/Y1xT7WBcJc"
10,2022-09-30 16:34:37+00:00,"@EigenPhi 🚨 : 🥪 #MEV caused trader losing $3,015 , using  ( $WETH , $USDC , $USDT ). Source: @EigenPhi
https://t.co/75yqpM8oy0"
11,2022-09-30 16:34:01+00:00,"🚨 : 🥪 #MEV caused trader losing $872 , using  ( $WETH , $BabyTsuka ). Source: @EigenPhi
https://t.co/KEaajdLbr4"
12,2022-09-30 16:32:54+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $10,428 with an ROI of 743.3% in 7 days, via 2663 🥪$.
https://t.co/Jz3qapPgFu"
13,2022-09-30 16:31:57+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $82,246 with an ROI of 4,809.1% in 7 days, via 1464 🥪$.
https://t.co/BSBU9yAbRZ"
14,2022-09-30 16:31:11+00:00,"🚨🚨🚨 Keep an eye on this #SandwichAttacker!😈😈😈
This #MEV contract made a profit of $13,921 with an ROI of 8,322.7% in 7 days, via 523 🥪$.
https://t.co/zYC9urRgBW"
15,2022-09-30 16:18:14+00:00,"You can buy #BNB at $269.55 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
16,2022-09-30 16:00:20+00:00,"1/2 This #MEV-bot has dominated the leaderboard of 🥪, which belongs to the proficient 👿 0xf480.
https://t.co/kaEhf1l4l9 https://t.co/WsPiaxOIlf"
17,2022-09-30 15:43:21+00:00,"You can sell #GMT at $0.667 now. 📉

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxBCIZ"
18,2022-09-30 15:34:43+00:00,"You can buy #ETH at $1,285.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
19,2022-09-30 15:32:43+00:00,"You can buy #CAKE at $4.632 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
20,2022-09-30 15:09:42+00:00,"You can buy #BTC at $18,743.1 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
21,2022-09-30 15:03:13+00:00,"You can buy #BNB at $269.55 now. 📈

#MEV protection, #slippage zero
Always better than #DEX
💵Just trade on oscillo https://t.co/NDFWKxTdAx"
