,Date,Tweets
0,2022-09-30 21:05:08+00:00,"What is / are the flashbots twitter accounts?

I want to tag them in a couple tweets.

 #flashbots"
1,2022-09-30 13:06:33+00:00,"Près d'un bloc #Ethereum sur deux en cours de validation utilise actuellement des #Flashbots conformes aux sanctions américaines, a déclaré le PDG de #Labrys à #Cointelegraph. https://t.co/NkoB2zw89b"
2,2022-09-30 10:56:26+00:00,"#Labrys CEO Lachlan Feeney is trying to raise awareness among validators running #Flashbots’ software that they may potentially be c... 

Read More 👉 https://t.co/7nlXdTwjkZ

#Bitcoin #BitcoinPrice #BuyBitcoin #CryptocurrencyExchange #MEVboostRelay"
3,2022-09-30 08:45:35+00:00,45% of ETH validators now complying with US sanctions — Labrys CEO https://t.co/VjmoNm2xE7 #Flashbots #MEVboostrelay #Labrys #censorship #yield
4,2022-09-30 06:55:41+00:00,New post: 45% of ETH validators now complying with US sanctions — Labrys CEO https://t.co/xTeyWuMzpb #Censorship #Flashbots #Labrys #MEV-boostRelay
5,2022-09-30 06:33:34+00:00,45% of ETH validators now complying with US sanctions — Labrys CEO https://t.co/vZs6jimZuR #Flashbots #MEVboostrelay #Labrys #censorship #yield
6,2022-09-30 06:29:17+00:00,"🚨🚨 CRYPTO NEWS ALERT! 🚨🚨

45% of ETH validators now complying with US sanctions — Labrys CEO

https://t.co/GJvljx4TC7

#Flashbots #MEV-boostrelay #Labrys #censorship #yield #OFAC #Crypto #BTC #ETH #DOGE"
7,2022-09-30 06:25:37+00:00,#Flashbots #MEVboostrelay #Labrys #censorship #yield 45% of ETH validators now complying with US sanctions — Labrys CEO https://t.co/KCC51F7XCd - https://t.co/HzksZFXjrd https://t.co/9SluVIwzrq
8,2022-09-30 06:12:09+00:00,45% of ETH validators now complying with US sanctions — Labrys CEO https://t.co/8Udrsv0j00 #Flashbots #MEVboostrelay #Labrys #censorship https://t.co/T7rJZoyWav
9,2022-09-30 06:12:09+00:00,45% of ETH validators now complying with US sanctions — Labrys CEO https://t.co/Uveaf6avgs #Flashbots #MEVboostrelay #Labrys https://t.co/gqck84oiUP
10,2022-09-30 06:12:07+00:00,#Flashbots #MEVboostrelay 45% of ETH validators now complying with US sanctions — Labrys CEO: Labrys CEO Lachlan Feeney is trying to raise awareness amongst validators running Flashbots’ software… https://t.co/xRkmUiuRRx  | https://t.co/bv9adjUPSs  | https://t.co/FHLhKD8Jlw https://t.co/jqoAn1dAKi
11,2022-09-29 20:29:12+00:00,Is Ethereum Under Attack? Unpacking the MEV-Boost Censorship Controversy https://t.co/ZTQi4gBe1U #News #Ethereum #Flashbots https://t.co/fZYkJId9YQ
12,2022-09-29 19:28:07+00:00,"change my mind:

if #FlashBots truly cared about a credibly neutral Ethereum, they would shut down their relaying service TODAY

and allow others to use their open source code (which don't arbitrarily self-impose censorship) to gain market share and replace them"
13,2022-09-29 15:18:15+00:00,"hot take: #FlashBots 100% deserves the flack they are getting

it is great that they open sourced their tools, and i respect that

BUT if they cannot operate a neutral relayer, and instead preemptively bend to regulation which doesn't exist,

then they should shut it down"
14,2022-09-29 14:26:27+00:00,"if you are running your own staking node, please DO NOT USE the primary MEV #FlashBots relayer, and do not deposit with any entity who does

you're actively contributing to protocol censorship when it is not even clearly legally required

https://t.co/Rbkkryds7s https://t.co/Rv5VVWMTGz"
15,2022-09-29 07:17:17+00:00,"📢 Un rapport d’un chercheur #Ethereum indique que le service #Flashbots essaie de se conformer aux nouvelles exigences réglementaires américaines. En effet, Flashbots censure les transactions Tornado Cash. Découvrez ce que cela signifie pour #ETH.🔎

https://t.co/3S7NrmeK1Q"
16,2022-09-29 06:57:41+00:00,"据以太坊研究员 @Nero_ETH 公布数据， #Flashbots 正在审查 Tornado Cash 交易，自 #以太坊 合并以来，没有一项与 Tornado Cash 合约交互的交易被包含在其 MEV-boosted 的区块之中。此前报道，Flashbots 战略负责人 Hasu 表示团队目前以及未来都将符合 OFAC 标准。
#ETH #SOL #XRP #BNB #TRX #LUNA https://t.co/97EYmtl0dC"
17,2022-09-29 03:03:36+00:00,"【数据：23% 的合并后以太坊区块因使用 Flashbots 而未包含 Tornado Cash 相关交易】

以太坊研究员 Toni Wahrstätter 研究数据显示，由于最大可提取价值（MEV）运营商 Flashbots 正在审查来自 Tornado Cash 的所有交易，
#Ethereum #flashbots"
18,2022-09-28 22:00:36+00:00,"🥳MEV Hack finale with amazing judges, @zeroXbrock, @Jonaskristensen &amp; Felix Buchert, and even more amazing projects. 👏👏

🧠Brainpower in this room? 
You won't need a heater for this winter!🤯🤯🤯

@wintermute_t #flashbots ⚡️🤖 https://t.co/Q1gB909s8i"
19,2022-09-28 18:38:34+00:00,This MEV bot gained and lost over $1M in 1 hour https://t.co/lCEUQqiOep #Hacks #ethereum #Flashbots
20,2022-09-28 18:16:07+00:00,#Hacks #ethereum #Flashbots This MEV bot gained and lost over $1M in 1 hour https://t.co/081RKoO0lu - https://t.co/HzksZFGgpd https://t.co/HIFB3EfTQd
21,2022-09-28 17:37:47+00:00,Long-tail MEV is difficult to detect &amp; quantify. I found the Symbolic Searcher project very interesting! @encodeclub #flashbots @wintermute_t
22,2022-09-28 16:21:20+00:00,At least 23% of ##Ethereum blocks are complying with U.S. sanctions due to the use of a service called #Flashbots.
23,2022-09-28 14:37:07+00:00,At least 23% of Ethereum blocks are complying with US sanctions https://t.co/Tfo2SQCVzh #ethereum #flashbots #graph https://t.co/MyY69drIRU
24,2022-09-28 11:59:22+00:00,#Ethereum #CoinTelegraph #ContinueReading #DeFi #Flashbots #Position #CryptoNews #FolloMe MEV bot earns $1M but loses everything to a hacker an hour later Position added successfully to: An Ethereum  arbitrage trading bot managed to hit the jackpot and l… https://t.co/TDlwtybYAS
25,2022-09-28 04:12:21+00:00,what are other #mev-boost compatible relays besides #Flashbots?
26,2022-09-26 08:50:51+00:00,@SiegeRhino2 @SaveToNotion #thread #mev #flashbots #eth2
27,2022-09-24 23:00:11+00:00,"#4 This is the biggest 🥪 's flow chart: https://t.co/NSes51KYL3 No surprise, it's done using #Flashbots MEV Boost.  #MEV caused trader losing $2,043.42 using ( $USDT , $USDC , $DAI , $WETH ).  https://t.co/bUT6VhXzyy https://t.co/VfSCKiTgZp"
