,bigram,count
0,"('#arbitrage', 'using')",7079
1,"('using', '(')",6396
2,"('#mev', '#hotwater')",4324
3,"('#mev', '🤖️')",4299
4,"('🤖️', 'made')",4278
5,"('mev', 'system')",4226
6,"('ecocent', 'mev')",4225
7,"('system', 'simply')",4225
8,"('simply', 'explained')",4225
9,"('#mev', '🤖')",2903
10,"('esp', 'ecocent')",2671
11,"('🤖', 'made')",2666
12,"('explained', 'video')",2480
13,"('video', 'go')",2480
14,"('go', 'info')",2480
15,"('info', 'view')",2480
16,"('view', 'it:')",2480
17,"('it:', '#mev')",2480
18,"('$weth', '):')",2238
19,"('triangular', '#arbitrage')",2042
20,"('sandwich', '#arbitrage')",1867
21,"('explained', 'video:')",1745
22,"('$wbnb', '):')",1552
23,"('(', '$usdc')",1545
24,"('spatial', '#arbitrage')",1525
25,"('$usdc', '$weth')",1403
26,"('video:', 'go')",1304
27,"('go', 'info:')",1304
28,"('info:', '#mev')",1304
29,"('(', '$weth')",1162
30,"('token', '(')",1042
31,"('made', 'profit')",1005
32,"('#mev', 'contract')",993
33,"('contract', 'made')",992
34,"('7', 'day')",991
35,"('keep', 'eye')",987
36,"('#sandwichattacker😈😈😈', '#mev')",985
37,"('eye', '#sandwichattacker😈😈😈')",983
38,"('🚨🚨🚨', 'keep')",981
39,"('day', 'via')",951
40,"('$usdt', '$wbnb')",862
41,"('(', '$usdt')",833
42,"('$weth', '$usdt')",804
43,"('sap', 'pas')",779
44,"('4', 'new')",685
45,"('new', 'flat')",685
46,"('flat', 'constructed')",685
47,"('constructed', '@arnosarms')",685
48,"('@arnosarms', 'owned')",685
49,"('owned', '@eatdrinkmb')",685
