,date,volume
0,2019-01-01,6
1,2019-01-02,9
2,2019-01-03,7
3,2019-01-04,9
4,2019-01-05,7
5,2019-01-06,7
6,2019-01-07,7
7,2019-01-08,6
8,2019-01-09,8
9,2019-01-10,7
10,2019-01-11,6
11,2019-01-12,7
12,2019-01-13,8
13,2019-01-14,6
14,2019-01-15,8
15,2019-01-16,8
16,2019-01-17,5
17,2019-01-18,10
18,2019-01-19,3
19,2019-01-20,1
20,2019-01-21,1
21,2019-01-22,4
22,2019-01-23,2
23,2019-01-24,1
24,2019-01-25,6
25,2019-01-26,7
26,2019-01-27,8
27,2019-01-28,6
28,2019-01-29,8
29,2019-01-30,8
30,2019-01-31,7
31,2019-02-01,7
32,2019-02-02,8
33,2019-02-03,9
34,2019-02-04,7
35,2019-02-05,8
36,2019-02-06,8
37,2019-02-07,7
38,2019-02-08,7
39,2019-02-09,59
40,2019-02-10,10
41,2019-02-11,6
42,2019-02-12,7
43,2019-02-13,6
44,2019-02-14,8
45,2019-02-15,7
46,2019-02-16,8
47,2019-02-17,12
48,2019-02-18,6
49,2019-02-19,8
50,2019-02-20,6
51,2019-02-21,8
52,2019-02-22,7
53,2019-02-23,8
54,2019-02-24,11
55,2019-02-25,5
56,2019-02-26,10
57,2019-02-27,6
58,2019-02-28,9
59,2019-03-01,9
60,2019-03-02,14
61,2019-03-03,7
62,2019-03-04,8
63,2019-03-05,8
64,2019-03-06,7
65,2019-03-07,7
66,2019-03-08,10
67,2019-03-09,7
68,2019-03-10,7
69,2019-03-11,7
70,2019-03-12,9
71,2019-03-13,33
72,2019-03-14,7
73,2019-03-15,10
74,2019-03-16,10
75,2019-03-17,7
76,2019-03-18,7
77,2019-03-19,10
78,2019-03-20,10
79,2019-03-21,9
80,2019-03-22,9
81,2019-03-23,10
82,2019-03-24,7
83,2019-03-25,6
84,2019-03-26,10
85,2019-03-27,6
86,2019-03-28,8
87,2019-03-29,9
88,2019-03-30,10
89,2019-03-31,8
90,2019-04-01,9
91,2019-04-02,8
92,2019-04-03,9
93,2019-04-04,9
94,2019-04-05,6
95,2019-04-06,8
96,2019-04-07,8
97,2019-04-08,7
98,2019-04-09,8
99,2019-04-10,7
100,2019-04-11,7
101,2019-04-12,7
102,2019-04-13,7
103,2019-04-14,7
104,2019-04-15,7
105,2019-04-16,9
106,2019-04-17,5
107,2019-04-18,8
108,2019-04-19,12
109,2019-04-20,9
110,2019-04-21,4
111,2019-04-22,9
112,2019-04-23,9
113,2019-04-24,9
114,2019-04-25,8
115,2019-04-26,8
116,2019-04-27,7
117,2019-04-28,7
118,2019-04-29,9
119,2019-04-30,8
120,2019-05-01,8
121,2019-05-02,8
122,2019-05-03,8
123,2019-05-04,9
124,2019-05-05,8
125,2019-05-06,7
126,2019-05-07,10
127,2019-05-08,8
128,2019-05-09,7
129,2019-05-10,7
130,2019-05-11,9
131,2019-05-12,8
132,2019-05-13,7
133,2019-05-14,9
134,2019-05-15,6
135,2019-05-16,8
136,2019-05-17,7
137,2019-05-18,7
138,2019-05-19,7
139,2019-05-20,7
140,2019-05-21,12
141,2019-05-22,7
142,2019-05-23,7
143,2019-05-24,9
144,2019-05-25,10
145,2019-05-26,9
146,2019-05-27,8
147,2019-05-28,9
148,2019-05-29,6
149,2019-05-30,8
150,2019-05-31,6
151,2019-06-01,6
152,2019-06-02,6
153,2019-06-03,7
154,2019-06-04,6
155,2019-06-05,5
156,2019-06-06,7
157,2019-06-07,9
158,2019-06-08,7
159,2019-06-09,9
160,2019-06-10,7
161,2019-06-11,10
162,2019-06-12,9
163,2019-06-13,7
164,2019-06-14,6
165,2019-06-15,9
166,2019-06-16,7
167,2019-06-17,7
168,2019-06-18,8
169,2019-06-19,6
170,2019-06-20,6
171,2019-06-21,9
172,2019-06-22,9
173,2019-06-23,9
174,2019-06-24,9
175,2019-06-25,10
176,2019-06-26,8
177,2019-06-27,8
178,2019-06-28,12
179,2019-06-29,9
180,2019-06-30,9
181,2019-07-01,10
182,2019-07-02,10
183,2019-07-03,10
184,2019-07-04,11
185,2019-07-05,13
186,2019-07-06,11
187,2019-07-07,14
188,2019-07-08,9
189,2019-07-09,11
190,2019-07-10,9
191,2019-07-11,9
192,2019-07-12,10
193,2019-07-13,12
194,2019-07-14,10
195,2019-07-15,12
196,2019-07-16,13
197,2019-07-17,10
198,2019-07-18,9
199,2019-07-19,10
200,2019-07-20,11
201,2019-07-21,9
202,2019-07-22,9
203,2019-07-23,10
204,2019-07-24,9
205,2019-07-25,11
206,2019-07-26,10
207,2019-07-27,12
208,2019-07-28,9
209,2019-07-29,8
210,2019-07-30,12
211,2019-07-31,11
212,2019-08-01,9
213,2019-08-02,10
