date,mev_unscaled,mev_monthly,isPartial,scale,mev
2019-01-01,30,,,,
2019-01-02,29,,,,
2019-01-03,25,,,,
2019-01-04,48,,,,
2019-01-05,100,,,,
2019-01-06,46,43.0,False,0.43,19.78
2019-01-07,49,43.0,,0.43,21.07
2019-01-08,0,43.0,,0.43,0.0
2019-01-09,39,43.0,,0.43,16.77
2019-01-10,22,43.0,,0.43,9.459999999999999
2019-01-11,0,43.0,,0.43,0.0
2019-01-12,68,43.0,,0.43,29.24
2019-01-13,30,42.0,False,0.42,12.6
2019-01-14,38,42.0,,0.42,15.959999999999999
2019-01-15,49,42.0,,0.42,20.58
2019-01-16,23,42.0,,0.42,9.66
2019-01-17,51,42.0,,0.42,21.419999999999998
2019-01-18,62,42.0,,0.42,26.04
2019-01-19,37,42.0,,0.42,15.54
2019-01-20,45,49.0,False,0.49,22.05
2019-01-21,39,49.0,,0.49,19.11
2019-01-22,29,49.0,,0.49,14.209999999999999
2019-01-23,49,49.0,,0.49,24.009999999999998
2019-01-24,55,49.0,,0.49,26.95
2019-01-25,57,49.0,,0.49,27.93
2019-01-26,92,49.0,,0.49,45.08
2019-01-27,50,52.0,False,0.52,26.0
2019-01-28,29,52.0,,0.52,15.08
2019-01-29,56,52.0,,0.52,29.12
2019-01-30,32,52.0,,0.52,16.64
2019-01-31,74,52.0,,0.52,38.480000000000004
2019-02-01,51,52.0,,0.52,26.52
2019-02-02,0,52.0,,0.52,0.0
2019-02-03,0,44.0,False,0.44,0.0
2019-02-04,55,44.0,,0.44,24.2
2019-02-05,27,44.0,,0.44,11.88
2019-02-06,0,44.0,,0.44,0.0
2019-02-07,47,44.0,,0.44,20.68
2019-02-08,27,44.0,,0.44,11.88
2019-02-09,61,44.0,,0.44,26.84
2019-02-10,41,43.0,False,0.43,17.63
2019-02-11,23,43.0,,0.43,9.89
2019-02-12,0,43.0,,0.43,0.0
2019-02-13,26,43.0,,0.43,11.18
2019-02-14,50,43.0,,0.43,21.5
2019-02-15,22,43.0,,0.43,9.459999999999999
2019-02-16,21,43.0,,0.43,9.03
2019-02-17,19,58.0,False,0.58,11.02
2019-02-18,35,58.0,,0.58,20.299999999999997
2019-02-19,86,58.0,,0.58,49.879999999999995
2019-02-20,100,58.0,,0.58,57.99999999999999
2019-02-21,71,58.0,,0.58,41.18
2019-02-22,55,58.0,,0.58,31.9
2019-02-23,32,58.0,,0.58,18.56
2019-02-24,62,59.0,False,0.59,36.58
2019-02-25,18,59.0,,0.59,10.62
2019-02-26,0,59.0,,0.59,0.0
2019-02-27,35,59.0,,0.59,20.65
2019-02-28,38,59.0,,0.59,22.419999999999998
2019-03-01,45,59.0,,0.59,26.549999999999997
2019-03-02,58,59.0,,0.59,34.22
2019-03-03,0,57.0,False,0.57,0.0
2019-03-04,50,57.0,,0.57,28.499999999999996
2019-03-05,55,57.0,,0.57,31.349999999999998
2019-03-06,39,57.0,,0.57,22.229999999999997
2019-03-07,71,57.0,,0.57,40.47
2019-03-08,100,57.0,,0.57,56.99999999999999
2019-03-09,38,57.0,,0.57,21.659999999999997
2019-03-10,47,54.0,False,0.54,25.380000000000003
2019-03-11,56,54.0,,0.54,30.240000000000002
2019-03-12,44,54.0,,0.54,23.76
2019-03-13,34,54.0,,0.54,18.36
2019-03-14,62,54.0,,0.54,33.480000000000004
2019-03-15,40,54.0,,0.54,21.6
2019-03-16,41,54.0,,0.54,22.14
2019-03-17,0,59.0,False,0.59,0.0
2019-03-18,69,59.0,,0.59,40.71
2019-03-19,38,59.0,,0.59,22.419999999999998
2019-03-20,56,59.0,,0.59,33.04
2019-03-21,0,59.0,,0.59,0.0
2019-03-22,47,59.0,,0.59,27.729999999999997
2019-03-23,52,59.0,,0.59,30.68
2019-03-24,49,55.0,False,0.55,26.950000000000003
2019-03-25,65,55.0,,0.55,35.75
2019-03-26,43,55.0,,0.55,23.650000000000002
2019-03-27,0,55.0,,0.55,0.0
2019-03-28,33,55.0,,0.55,18.150000000000002
2019-03-29,40,55.0,,0.55,22.0
2019-03-30,61,55.0,,0.55,33.550000000000004
2019-03-31,52,71.0,False,0.71,36.92
2019-04-01,37,71.0,,0.71,26.27
2019-04-02,35,71.0,,0.71,24.849999999999998
