date,mev_unscaled,mev_monthly,isPartial,scale,mev
2019-01-01,52,,,,
2019-01-02,35,,,,
2019-01-03,16,,,,
2019-01-04,0,,,,
2019-01-05,67,,,,
2019-01-06,50,45.0,False,0.45,22.5
2019-01-07,49,45.0,,0.45,22.05
2019-01-08,0,45.0,,0.45,0.0
2019-01-09,37,45.0,,0.45,16.650000000000002
2019-01-10,28,45.0,,0.45,12.6
2019-01-11,30,45.0,,0.45,13.5
2019-01-12,36,45.0,,0.45,16.2
2019-01-13,44,40.0,False,0.4,17.6
2019-01-14,18,40.0,,0.4,7.2
2019-01-15,41,40.0,,0.4,16.400000000000002
2019-01-16,53,40.0,,0.4,21.200000000000003
2019-01-17,76,40.0,,0.4,30.400000000000002
2019-01-18,25,40.0,,0.4,10.0
2019-01-19,29,40.0,,0.4,11.600000000000001
2019-01-20,28,47.0,False,0.47,13.16
2019-01-21,54,47.0,,0.47,25.38
2019-01-22,70,47.0,,0.47,32.9
2019-01-23,60,47.0,,0.47,28.2
2019-01-24,41,47.0,,0.47,19.27
2019-01-25,25,47.0,,0.47,11.75
2019-01-26,100,47.0,,0.47,47.0
2019-01-27,35,50.0,False,0.5,17.5
2019-01-28,54,50.0,,0.5,27.0
2019-01-29,44,50.0,,0.5,22.0
2019-01-30,0,50.0,,0.5,0.0
2019-01-31,57,50.0,,0.5,28.5
2019-02-01,83,50.0,,0.5,41.5
2019-02-02,32,50.0,,0.5,16.0
2019-02-03,85,51.0,False,0.51,43.35
2019-02-04,0,51.0,,0.51,0.0
2019-02-05,52,51.0,,0.51,26.52
2019-02-06,27,51.0,,0.51,13.77
2019-02-07,19,51.0,,0.51,9.69
2019-02-08,86,51.0,,0.51,43.86
2019-02-09,74,51.0,,0.51,37.74
2019-02-10,44,45.0,False,0.45,19.8
2019-02-11,0,45.0,,0.45,0.0
2019-02-12,0,45.0,,0.45,0.0
2019-02-13,53,45.0,,0.45,23.85
2019-02-14,100,45.0,,0.45,45.0
2019-02-15,33,45.0,,0.45,14.85
2019-02-16,51,45.0,,0.45,22.95
