,date,volume
0,2019-01-25,1
1,2019-01-26,12
2,2019-06-12,1
3,2019-08-01,1
4,2019-11-08,1
5,2020-01-09,1
6,2020-01-10,1
7,2020-01-11,12
8,2020-01-22,1
9,2020-02-11,1
10,2020-02-21,1
11,2020-02-24,1
12,2020-02-29,5
13,2020-06-16,1
14,2020-11-25,1
15,2020-12-11,1
16,2021-02-24,2
17,2021-02-25,1
18,2021-02-28,1
19,2021-03-03,1
20,2021-03-13,1
21,2021-03-14,1
22,2021-03-17,1
23,2021-03-18,1
24,2021-03-19,3
25,2021-03-20,1
26,2021-03-25,3
27,2021-03-26,1
28,2021-03-30,1
29,2021-03-31,1
30,2021-04-01,1
31,2021-04-02,2
32,2021-04-04,1
33,2021-04-07,5
34,2021-04-08,5
35,2021-04-09,3
36,2021-04-10,3
37,2021-04-11,8
38,2021-04-12,4
39,2021-04-13,6
40,2021-04-14,2
41,2021-04-15,2
42,2021-04-16,1
43,2021-04-18,3
44,2021-04-19,1
45,2021-04-20,1
46,2021-04-21,4
47,2021-04-22,2
48,2021-04-23,2
49,2021-04-24,3
50,2021-04-25,4
51,2021-04-26,2
52,2021-04-27,2
53,2021-04-28,6
54,2021-04-29,1
55,2021-04-30,4
56,2021-05-01,3
57,2021-05-02,1
58,2021-05-03,1
59,2021-05-04,4
60,2021-05-05,2
61,2021-05-06,1
62,2021-05-07,2
63,2021-05-10,5
64,2021-05-11,5
65,2021-05-12,1
66,2021-05-13,8
67,2021-05-14,1
68,2021-05-15,4
69,2021-05-16,3
70,2021-05-17,2
71,2021-05-18,4
72,2021-05-19,1
73,2021-05-20,2
74,2021-05-21,1
75,2021-05-22,3
76,2021-05-23,1
77,2021-05-24,2
78,2021-05-25,4
79,2021-05-26,5
80,2021-05-27,10
81,2021-05-28,6
82,2021-05-29,9
83,2021-05-30,1
84,2021-06-01,5
85,2021-06-02,4
86,2021-06-03,2
87,2021-06-04,1
88,2021-06-06,2
89,2021-06-07,3
90,2021-06-08,3
91,2021-06-09,3
92,2021-06-10,6
93,2021-06-11,3
94,2021-06-12,1
95,2021-06-13,1
96,2021-06-14,1
97,2021-06-15,2
98,2021-06-16,1
99,2021-06-17,3
100,2021-06-18,2
101,2021-06-19,1
102,2021-06-20,1
103,2021-06-21,1
104,2021-06-22,2
105,2021-06-23,2
106,2021-06-24,1
107,2021-06-25,3
108,2021-06-26,1
109,2021-06-27,2
110,2021-06-28,2
111,2021-06-29,1
112,2021-06-30,3
113,2021-07-01,3
114,2021-07-02,1
115,2021-07-03,1
116,2021-07-04,1
117,2021-07-05,2
118,2021-07-06,1
119,2021-07-07,1
120,2021-07-09,6
121,2021-07-11,1
122,2021-07-12,1
123,2021-07-13,3
124,2021-07-14,2
125,2021-07-15,1
126,2021-07-19,2
127,2021-07-21,3
128,2021-07-23,3
129,2021-07-24,2
130,2021-07-25,3
131,2021-07-26,1
132,2021-07-27,1
133,2021-07-28,3
134,2021-08-01,1
135,2021-08-02,1
136,2021-08-03,2
137,2021-08-05,1
138,2021-08-06,1
139,2021-08-08,1
140,2021-08-10,3
141,2021-08-11,1
142,2021-08-14,1
143,2021-08-16,1
144,2021-08-17,1
145,2021-08-19,2
146,2021-08-25,1
147,2021-08-27,2
148,2021-08-28,1
149,2021-08-29,1
150,2021-08-30,1
151,2021-08-31,1
152,2021-09-03,1
153,2021-09-05,3
154,2021-09-07,1
155,2021-09-09,6
156,2021-09-10,2
157,2021-09-11,1
158,2021-09-13,4
159,2021-09-14,3
160,2021-09-15,1
161,2021-09-19,1
162,2021-09-21,2
163,2021-09-23,3
164,2021-09-25,1
165,2021-09-27,4
166,2021-09-28,1
167,2021-09-30,2
168,2021-10-01,2
169,2021-10-02,1
170,2021-10-03,1
171,2021-10-05,1
172,2021-10-06,10
173,2021-10-07,11
174,2021-10-08,3
175,2021-10-09,3
176,2021-10-10,3
177,2021-10-11,3
178,2021-10-12,7
179,2021-10-13,2
