,date,volume
0,2019-01-01,9
1,2019-01-02,6
2,2019-01-03,6
3,2019-01-04,9
4,2019-01-05,7
5,2019-01-06,9
6,2019-01-07,7
7,2019-01-08,7
8,2019-01-09,7
9,2019-01-10,6
10,2019-01-11,8
11,2019-01-12,7
12,2019-01-13,6
13,2019-01-14,7
14,2019-01-15,8
15,2019-01-16,6
16,2019-01-17,8
17,2019-01-18,8
18,2019-01-19,5
19,2019-01-20,10
20,2019-01-21,3
21,2019-01-22,1
22,2019-01-24,1
23,2019-01-25,4
24,2019-01-26,2
25,2019-01-27,1
26,2019-01-28,6
27,2019-01-29,7
28,2019-01-30,8
29,2019-01-31,6
30,2019-02-01,8
31,2019-02-02,8
32,2019-02-03,7
33,2019-02-04,7
34,2019-02-05,8
35,2019-02-06,9
36,2019-02-07,7
37,2019-02-08,8
38,2019-02-09,8
39,2019-02-10,7
40,2019-02-11,7
41,2019-02-12,59
42,2019-02-13,10
43,2019-02-14,6
44,2019-02-15,7
45,2019-02-16,6
46,2019-02-17,8
47,2019-02-18,7
48,2019-02-19,8
49,2019-02-20,12
50,2019-02-21,6
51,2019-02-22,8
52,2019-02-23,6
53,2019-02-24,8
54,2019-02-25,7
55,2019-02-26,8
56,2019-02-27,11
57,2019-02-28,5
58,2019-03-01,10
59,2019-03-02,6
60,2019-03-03,9
61,2019-03-04,9
62,2019-03-05,14
63,2019-03-06,7
64,2019-03-07,8
65,2019-03-08,8
66,2019-03-09,7
67,2019-03-10,7
68,2019-03-11,10
69,2019-03-12,7
70,2019-03-13,7
71,2019-03-14,7
72,2019-03-15,9
73,2019-03-16,33
74,2019-03-17,7
75,2019-03-18,10
76,2019-03-19,10
77,2019-03-20,7
78,2019-03-21,7
79,2019-03-22,10
80,2019-03-23,10
81,2019-03-24,9
82,2019-03-25,9
83,2019-03-26,10
84,2019-03-27,7
85,2019-03-28,6
86,2019-03-29,10
87,2019-03-30,6
88,2019-03-31,8
89,2019-04-01,9
90,2019-04-02,10
91,2019-04-03,8
92,2019-04-04,9
93,2019-04-05,8
94,2019-04-06,9
95,2019-04-07,9
96,2019-04-08,6
97,2019-04-09,8
98,2019-04-10,8
99,2019-04-11,7
100,2019-04-12,8
101,2019-04-13,7
102,2019-04-14,7
103,2019-04-15,7
104,2019-04-16,7
105,2019-04-17,7
106,2019-04-18,7
107,2019-04-19,9
108,2019-04-20,5
109,2019-04-21,8
110,2019-04-22,12
111,2019-04-23,9
112,2019-04-24,4
113,2019-04-25,9
114,2019-04-26,9
115,2019-04-27,9
116,2019-04-28,8
117,2019-04-29,8
118,2019-04-30,7
119,2019-05-01,7
120,2019-05-02,9
121,2019-05-03,8
122,2019-05-04,8
123,2019-05-05,8
124,2019-05-06,8
125,2019-05-07,9
126,2019-05-08,8
127,2019-05-09,7
128,2019-05-10,10
129,2019-05-11,8
130,2019-05-12,7
131,2019-05-13,7
132,2019-05-14,9
